movie_title,movie_imdb_link,country
Metropolis ,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,Germany
The Broadway Melody ,http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1,USA
42nd Street ,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,USA
Top Hat ,http://www.imdb.com/title/tt0027125/?ref_=fn_tt_tt_1,USA
Modern Times ,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,USA
Snow White and the Seven Dwarfs ,http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1,USA
Gone with the Wind ,http://www.imdb.com/title/tt0031381/?ref_=fn_tt_tt_1,USA
The Wizard of Oz ,http://www.imdb.com/title/tt0032138/?ref_=fn_tt_tt_1,USA
Pinocchio ,http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,USA
Kate & Leopold ,http://www.imdb.com/title/tt0035423/?ref_=fn_tt_tt_1,USA
The Best Years of Our Lives ,http://www.imdb.com/title/tt0036868/?ref_=fn_tt_tt_1,USA
Duel in the Sun ,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,USA
The Lady from Shanghai ,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,USA
The Pirate ,http://www.imdb.com/title/tt0040694/?ref_=fn_tt_tt_1,USA
Annie Get Your Gun ,http://www.imdb.com/title/tt0042200/?ref_=fn_tt_tt_1,USA
The Greatest Show on Earth ,http://www.imdb.com/title/tt0044672/?ref_=fn_tt_tt_1,USA
The Beast from 20.000 Fathoms,http://www.imdb.com/title/tt0045546/?ref_=fn_tt_tt_1,USA
The Robe ,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,USA
On the Waterfront ,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,USA
Seven Samurai ,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,Japan
The Bridge on the River Kwai ,http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1,UK
Some Like It Hot ,http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,USA
Psycho ,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,USA
West Side Story ,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,USA
Dr. No ,http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1,UK
Lawrence of Arabia ,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,UK
Cleopatra ,http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1,UK
From Russia with Love ,http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1,UK
It's a Mad Mad Mad Mad World,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,USA
Goldfinger ,http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1,UK
A Hard Day's Night ,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,UK
Mary Poppins ,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,USA
My Fair Lady ,http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,USA
A Fistful of Dollars ,http://www.imdb.com/title/tt0058461/?ref_=fn_tt_tt_1,Italy
Doctor Zhivago ,http://www.imdb.com/title/tt0059113/?ref_=fn_tt_tt_1,USA
The Greatest Story Ever Told ,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,USA
Major Dundee ,http://www.imdb.com/title/tt0059418/?ref_=fn_tt_tt_1,USA
The Sound of Music ,http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,USA
Thunderball ,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,UK
The Good the Bad and the Ugly,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,Italy
You Only Live Twice ,http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,UK
2001: A Space Odyssey ,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,UK
Oliver! ,http://www.imdb.com/title/tt0063385/?ref_=fn_tt_tt_1,UK
Butch Cassidy and the Sundance Kid ,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,USA
On Her Majesty's Secret Service ,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,UK
Mississippi Mermaid ,http://www.imdb.com/title/tt0064990/?ref_=fn_tt_tt_1,France
Beyond the Valley of the Dolls ,http://www.imdb.com/title/tt0065466/?ref_=fn_tt_tt_1,USA
Darling Lili ,http://www.imdb.com/title/tt0065611/?ref_=fn_tt_tt_1,USA
Tora! Tora! Tora! ,http://www.imdb.com/title/tt0066473/?ref_=fn_tt_tt_1,Japan
Woodstock ,http://www.imdb.com/title/tt0066580/?ref_=fn_tt_tt_1,USA
Diamonds Are Forever ,http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1,UK
Fiddler on the Roof ,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,USA
Sweet Sweetback's Baadasssss Song ,http://www.imdb.com/title/tt0067810/?ref_=fn_tt_tt_1,USA
The Godfather ,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,USA
Pink Flamingos ,http://www.imdb.com/title/tt0069089/?ref_=fn_tt_tt_1,USA
American Graffiti ,http://www.imdb.com/title/tt0069704/?ref_=fn_tt_tt_1,USA
The Exorcist ,http://www.imdb.com/title/tt0070047/?ref_=fn_tt_tt_1,USA
Live and Let Die ,http://www.imdb.com/title/tt0070328/?ref_=fn_tt_tt_1,UK
Mean Streets ,http://www.imdb.com/title/tt0070379/?ref_=fn_tt_tt_1,USA
The Sting ,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,USA
Benji ,http://www.imdb.com/title/tt0071206/?ref_=fn_tt_tt_1,USA
Blazing Saddles ,http://www.imdb.com/title/tt0071230/?ref_=fn_tt_tt_1,USA
The Godfather: Part II ,http://www.imdb.com/title/tt0071562/?ref_=fn_tt_tt_1,USA
The Man with the Golden Gun ,http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1,UK
Monty Python and the Holy Grail ,http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1,UK
The Texas Chain Saw Massacre ,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,USA
Young Frankenstein ,http://www.imdb.com/title/tt0072431/?ref_=fn_tt_tt_1,USA
Jaws ,http://www.imdb.com/title/tt0073195/?ref_=fn_tt_tt_1,USA
One Flew Over the Cuckoo's Nest ,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1,USA
Logan's Run ,http://www.imdb.com/title/tt0074812/?ref_=fn_tt_tt_1,USA
Rocky ,http://www.imdb.com/title/tt0075148/?ref_=fn_tt_tt_1,USA
Annie Hall ,http://www.imdb.com/title/tt0075686/?ref_=fn_tt_tt_1,USA
A Bridge Too Far ,http://www.imdb.com/title/tt0075784/?ref_=fn_tt_tt_1,USA
Close Encounters of the Third Kind ,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1,USA
March or Die ,http://www.imdb.com/title/tt0076175/?ref_=fn_tt_tt_1,UK
Kingdom of the Spiders ,http://www.imdb.com/title/tt0076271/?ref_=fn_tt_tt_1,USA
The Spy Who Loved Me ,http://www.imdb.com/title/tt0076752/?ref_=fn_tt_tt_1,UK
Star Wars: Episode IV - A New Hope ,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1,USA
Caravans ,http://www.imdb.com/title/tt0077296/?ref_=fn_tt_tt_1,Iran
Grease ,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,USA
Halloween ,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,USA
Jaws 2 ,http://www.imdb.com/title/tt0077766/?ref_=fn_tt_tt_1,USA
Animal House ,http://www.imdb.com/title/tt0077975/?ref_=fn_tt_tt_1,USA
Superman ,http://www.imdb.com/title/tt0078346/?ref_=fn_tt_tt_1,USA
The Wiz ,http://www.imdb.com/title/tt0078504/?ref_=fn_tt_tt_1,USA
Alien ,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,UK
Apocalypse Now ,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,USA
Escape from Alcatraz ,http://www.imdb.com/title/tt0079116/?ref_=fn_tt_tt_1,USA
Moonraker ,http://www.imdb.com/title/tt0079574/?ref_=fn_tt_tt_1,UK
The Rose ,http://www.imdb.com/title/tt0079826/?ref_=fn_tt_tt_1,USA
Star Trek: The Motion Picture ,http://www.imdb.com/title/tt0079945/?ref_=fn_tt_tt_1,USA
Airplane! ,http://www.imdb.com/title/tt0080339/?ref_=fn_tt_tt_1,USA
The Blues Brothers ,http://www.imdb.com/title/tt0080455/?ref_=fn_tt_tt_1,USA
Caddyshack ,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,USA
Can't Stop the Music ,http://www.imdb.com/title/tt0080492/?ref_=fn_tt_tt_1,USA
Dressed to Kill ,http://www.imdb.com/title/tt0080661/?ref_=fn_tt_tt_1,USA
Star Wars: Episode V - The Empire Strikes Back ,http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1,USA
The Fog ,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,USA
Heaven's Gate ,http://www.imdb.com/title/tt0080855/?ref_=fn_tt_tt_1,USA
Ordinary People ,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,USA
Private Benjamin ,http://www.imdb.com/title/tt0081375/?ref_=fn_tt_tt_1,USA
Raging Bull ,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,USA
Raise the Titanic ,http://www.imdb.com/title/tt0081400/?ref_=fn_tt_tt_1,UK
Superman II ,http://www.imdb.com/title/tt0081573/?ref_=fn_tt_tt_1,USA
Time Bandits ,http://www.imdb.com/title/tt0081633/?ref_=fn_tt_tt_1,UK
Das Boot ,http://www.imdb.com/title/tt0082096/?ref_=fn_tt_tt_1,West Germany
Chariots of Fire ,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,UK
Conan the Barbarian ,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,USA
Dragonslayer ,http://www.imdb.com/title/tt0082288/?ref_=fn_tt_tt_1,USA
The Beyond ,http://www.imdb.com/title/tt0082307/?ref_=fn_tt_tt_1,Italy
Escape from New York ,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,UK
For Your Eyes Only ,http://www.imdb.com/title/tt0082398/?ref_=fn_tt_tt_1,UK
Friday the 13th Part 2 ,http://www.imdb.com/title/tt0082418/?ref_=fn_tt_tt_1,USA
The Howling ,http://www.imdb.com/title/tt0082533/?ref_=fn_tt_tt_1,USA
The Legend of the Lone Ranger ,http://www.imdb.com/title/tt0082648/?ref_=fn_tt_tt_1,USA
Mad Max 2: The Road Warrior ,http://www.imdb.com/title/tt0082694/?ref_=fn_tt_tt_1,Australia
Raiders of the Lost Ark ,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,USA
Roar ,http://www.imdb.com/title/tt0083001/?ref_=fn_tt_tt_1,USA
Sphinx ,http://www.imdb.com/title/tt0083113/?ref_=fn_tt_tt_1,USA
Stripes ,http://www.imdb.com/title/tt0083131/?ref_=fn_tt_tt_1,USA
Under the Rainbow ,http://www.imdb.com/title/tt0083254/?ref_=fn_tt_tt_1,USA
The Best Little Whorehouse in Texas ,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,USA
Blade Runner ,http://www.imdb.com/title/tt0083658/?ref_=fn_tt_tt_1,USA
Diner ,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,USA
E.T. the Extra-Terrestrial ,http://www.imdb.com/title/tt0083866/?ref_=fn_tt_tt_1,USA
Firefox ,http://www.imdb.com/title/tt0083943/?ref_=fn_tt_tt_1,USA
Friday the 13th Part III ,http://www.imdb.com/title/tt0083972/?ref_=fn_tt_tt_1,USA
Megaforce ,http://www.imdb.com/title/tt0084316/?ref_=fn_tt_tt_1,USA
Poltergeist ,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,USA
Porky's ,http://www.imdb.com/title/tt0084522/?ref_=fn_tt_tt_1,Canada
Star Trek II: The Wrath of Khan ,http://www.imdb.com/title/tt0084726/?ref_=fn_tt_tt_1,USA
The Thing ,http://www.imdb.com/title/tt0084787/?ref_=fn_tt_tt_1,USA
Tootsie ,http://www.imdb.com/title/tt0084805/?ref_=fn_tt_tt_1,USA
The Verdict ,http://www.imdb.com/title/tt0084855/?ref_=fn_tt_tt_1,USA
Flashdance ,http://www.imdb.com/title/tt0085549/?ref_=fn_tt_tt_1,USA
Halloween III: Season of the Witch ,http://www.imdb.com/title/tt0085636/?ref_=fn_tt_tt_1,USA
Lone Wolf McQuade ,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,USA
National Lampoon's Vacation ,http://www.imdb.com/title/tt0085995/?ref_=fn_tt_tt_1,USA
Never Say Never Again ,http://www.imdb.com/title/tt0086006/?ref_=fn_tt_tt_1,UK
Octopussy ,http://www.imdb.com/title/tt0086034/?ref_=fn_tt_tt_1,UK
The Outsiders ,http://www.imdb.com/title/tt0086066/?ref_=fn_tt_tt_1,USA
Star Wars: Episode VI - Return of the Jedi ,http://www.imdb.com/title/tt0086190/?ref_=fn_tt_tt_1,USA
The Right Stuff ,http://www.imdb.com/title/tt0086197/?ref_=fn_tt_tt_1,USA
Scarface ,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,USA
Superman III ,http://www.imdb.com/title/tt0086393/?ref_=fn_tt_tt_1,UK
Twilight Zone: The Movie ,http://www.imdb.com/title/tt0086491/?ref_=fn_tt_tt_1,USA
WarGames ,http://www.imdb.com/title/tt0086567/?ref_=fn_tt_tt_1,USA
Yentl ,http://www.imdb.com/title/tt0086619/?ref_=fn_tt_tt_1,UK
Amadeus ,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,USA
Beverly Hills Cop ,http://www.imdb.com/title/tt0086960/?ref_=fn_tt_tt_1,USA
The Bounty ,http://www.imdb.com/title/tt0086993/?ref_=fn_tt_tt_1,UK
Conan the Destroyer ,http://www.imdb.com/title/tt0087078/?ref_=fn_tt_tt_1,USA
The Cotton Club ,http://www.imdb.com/title/tt0087089/?ref_=fn_tt_tt_1,USA
Dune ,http://www.imdb.com/title/tt0087182/?ref_=fn_tt_tt_1,USA
Firestarter ,http://www.imdb.com/title/tt0087262/?ref_=fn_tt_tt_1,USA
Footloose ,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,USA
Friday the 13th: The Final Chapter ,http://www.imdb.com/title/tt0087298/?ref_=fn_tt_tt_1,USA
Gremlins ,http://www.imdb.com/title/tt0087363/?ref_=fn_tt_tt_1,USA
The Hotel New Hampshire ,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1,UK
Indiana Jones and the Temple of Doom ,http://www.imdb.com/title/tt0087469/?ref_=fn_tt_tt_1,USA
The Karate Kid ,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,USA
A Nightmare on Elm Street ,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,USA
Once Upon a Time in America ,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,Italy
A Passage to India ,http://www.imdb.com/title/tt0087892/?ref_=fn_tt_tt_1,UK
Police Academy ,http://www.imdb.com/title/tt0087928/?ref_=fn_tt_tt_1,USA
Splash ,http://www.imdb.com/title/tt0088161/?ref_=fn_tt_tt_1,USA
Star Trek III: The Search for Spock ,http://www.imdb.com/title/tt0088170/?ref_=fn_tt_tt_1,USA
The Terminator ,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1,UK
Back to the Future ,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,USA
Brazil ,http://www.imdb.com/title/tt0088846/?ref_=fn_tt_tt_1,UK
The Color Purple ,http://www.imdb.com/title/tt0088939/?ref_=fn_tt_tt_1,USA
Friday the 13th: A New Beginning ,http://www.imdb.com/title/tt0089173/?ref_=fn_tt_tt_1,USA
The Last Dragon ,http://www.imdb.com/title/tt0089461/?ref_=fn_tt_tt_1,USA
Mad Max Beyond Thunderdome ,http://www.imdb.com/title/tt0089530/?ref_=fn_tt_tt_1,Australia
A Nightmare on Elm Street 2: Freddy's Revenge ,http://www.imdb.com/title/tt0089686/?ref_=fn_tt_tt_1,USA
Out of Africa ,http://www.imdb.com/title/tt0089755/?ref_=fn_tt_tt_1,USA
Pale Rider ,http://www.imdb.com/title/tt0089767/?ref_=fn_tt_tt_1,USA
Rambo: First Blood Part II ,http://www.imdb.com/title/tt0089880/?ref_=fn_tt_tt_1,USA
Silverado ,http://www.imdb.com/title/tt0090022/?ref_=fn_tt_tt_1,USA
A View to a Kill ,http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1,UK
Witchboard ,http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1,UK
Witness ,http://www.imdb.com/title/tt0090329/?ref_=fn_tt_tt_1,USA
Young Sherlock Holmes ,http://www.imdb.com/title/tt0090357/?ref_=fn_tt_tt_1,USA
Crocodile Dundee ,http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1,Australia
Aliens ,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,USA
April Fool's Day ,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,USA
Big Trouble in Little China ,http://www.imdb.com/title/tt0090728/?ref_=fn_tt_tt_1,USA
The Clan of the Cave Bear ,http://www.imdb.com/title/tt0090848/?ref_=fn_tt_tt_1,USA
The Color of Money ,http://www.imdb.com/title/tt0090863/?ref_=fn_tt_tt_1,USA
Jason Lives: Friday the 13th Part VI ,http://www.imdb.com/title/tt0091080/?ref_=fn_tt_tt_1,USA
The Golden Child ,http://www.imdb.com/title/tt0091129/?ref_=fn_tt_tt_1,USA
Highlander ,http://www.imdb.com/title/tt0091203/?ref_=fn_tt_tt_1,UK
Howard the Duck ,http://www.imdb.com/title/tt0091225/?ref_=fn_tt_tt_1,USA
Invaders from Mars ,http://www.imdb.com/title/tt0091276/?ref_=fn_tt_tt_1,USA
Legal Eagles ,http://www.imdb.com/title/tt0091396/?ref_=fn_tt_tt_1,USA
Little Shop of Horrors ,http://www.imdb.com/title/tt0091419/?ref_=fn_tt_tt_1,USA
9½ Weeks ,http://www.imdb.com/title/tt0091635/?ref_=fn_tt_tt_1,USA
From a Whisper to a Scream ,http://www.imdb.com/title/tt0091671/?ref_=fn_tt_tt_1,USA
Peggy Sue Got Married ,http://www.imdb.com/title/tt0091738/?ref_=fn_tt_tt_1,USA
Platoon ,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,UK
River's Edge ,http://www.imdb.com/title/tt0091860/?ref_=fn_tt_tt_1,USA
A Room with a View ,http://www.imdb.com/title/tt0091867/?ref_=fn_tt_tt_1,UK
Shanghai Surprise ,http://www.imdb.com/title/tt0091934/?ref_=fn_tt_tt_1,UK
She's Gotta Have It ,http://www.imdb.com/title/tt0091939/?ref_=fn_tt_tt_1,USA
Stand by Me ,http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1,USA
Star Trek IV: The Voyage Home ,http://www.imdb.com/title/tt0092007/?ref_=fn_tt_tt_1,USA
The Texas Chainsaw Massacre 2 ,http://www.imdb.com/title/tt0092076/?ref_=fn_tt_tt_1,USA
Top Gun ,http://www.imdb.com/title/tt0092099/?ref_=fn_tt_tt_1,USA
The Wraith ,http://www.imdb.com/title/tt0092240/?ref_=fn_tt_tt_1,USA
Crocodile Dundee II ,http://www.imdb.com/title/tt0092493/?ref_=fn_tt_tt_1,Australia
American Ninja 2: The Confrontation ,http://www.imdb.com/title/tt0092548/?ref_=fn_tt_tt_1,USA
The Barbarians ,http://www.imdb.com/title/tt0092615/?ref_=fn_tt_tt_1,USA
Beverly Hills Cop II ,http://www.imdb.com/title/tt0092644/?ref_=fn_tt_tt_1,USA
Bloodsport ,http://www.imdb.com/title/tt0092675/?ref_=fn_tt_tt_1,USA
Creepshow 2 ,http://www.imdb.com/title/tt0092796/?ref_=fn_tt_tt_1,USA
Cry Freedom ,http://www.imdb.com/title/tt0092804/?ref_=fn_tt_tt_1,UK
Evil Dead II ,http://www.imdb.com/title/tt0092991/?ref_=fn_tt_tt_1,USA
Fatal Attraction ,http://www.imdb.com/title/tt0093010/?ref_=fn_tt_tt_1,USA
Good Morning Vietnam,http://www.imdb.com/title/tt0093105/?ref_=fn_tt_tt_1,USA
Hellraiser ,http://www.imdb.com/title/tt0093177/?ref_=fn_tt_tt_1,UK
Hollywood Shuffle ,http://www.imdb.com/title/tt0093200/?ref_=fn_tt_tt_1,USA
Ishtar ,http://www.imdb.com/title/tt0093278/?ref_=fn_tt_tt_1,USA
Jaws: The Revenge ,http://www.imdb.com/title/tt0093300/?ref_=fn_tt_tt_1,USA
La Bamba ,http://www.imdb.com/title/tt0093378/?ref_=fn_tt_tt_1,USA
The Last Emperor ,http://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1,China
The Living Daylights ,http://www.imdb.com/title/tt0093428/?ref_=fn_tt_tt_1,UK
Malone ,http://www.imdb.com/title/tt0093483/?ref_=fn_tt_tt_1,USA
Maurice ,http://www.imdb.com/title/tt0093512/?ref_=fn_tt_tt_1,UK
A Nightmare on Elm Street 3: Dream Warriors ,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,USA
Predator ,http://www.imdb.com/title/tt0093773/?ref_=fn_tt_tt_1,USA
The Princess Bride ,http://www.imdb.com/title/tt0093779/?ref_=fn_tt_tt_1,USA
Radio Days ,http://www.imdb.com/title/tt0093818/?ref_=fn_tt_tt_1,USA
The Running Man ,http://www.imdb.com/title/tt0093894/?ref_=fn_tt_tt_1,USA
Spaceballs ,http://www.imdb.com/title/tt0094012/?ref_=fn_tt_tt_1,USA
Superman IV: The Quest for Peace ,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,UK
Teen Wolf Too ,http://www.imdb.com/title/tt0094118/?ref_=fn_tt_tt_1,USA
3 Men and a Baby ,http://www.imdb.com/title/tt0094137/?ref_=fn_tt_tt_1,USA
