movie_title,movie_imdb_link,country,budget,gross,foreign_currency
Ernest & Celestine ,http://www.imdb.com/title/tt1816518/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
The Nut Job ,http://www.imdb.com/title/tt1821658/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
A Separation ,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,Iran,budget,gross,foreign_currency
Resident Evil: Retribution ,http://www.imdb.com/title/tt1855325/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
The East ,http://www.imdb.com/title/tt1869716/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Raid: Redemption ,http://www.imdb.com/title/tt1899353/?ref_=fn_tt_tt_1,Indonesia,budget,gross,foreign_currency
Pompeii ,http://www.imdb.com/title/tt1921064/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
The Best Offer ,http://www.imdb.com/title/tt1924396/?ref_=fn_tt_tt_1,Italy,budget,gross,foreign_currency
Trance ,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Seven Psychopaths ,http://www.imdb.com/title/tt1931533/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
A Most Wanted Man ,http://www.imdb.com/title/tt1972571/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Neon Demon ,http://www.imdb.com/title/tt1974419/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Rush ,http://www.imdb.com/title/tt1979320/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Young and Prodigious T.S. Spivet ,http://www.imdb.com/title/tt1981107/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Machete Kills ,http://www.imdb.com/title/tt2002718/?ref_=fn_tt_tt_1,Russia,budget,gross,foreign_currency
The 33 ,http://www.imdb.com/title/tt2006295/?ref_=fn_tt_tt_1,Chile,budget,gross,foreign_currency
Mama ,http://www.imdb.com/title/tt2023587/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Non-Stop ,http://www.imdb.com/title/tt2024469/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Last Exorcism Part II ,http://www.imdb.com/title/tt2034139/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
The Railway Man ,http://www.imdb.com/title/tt2058107/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Steve Jobs ,http://www.imdb.com/title/tt2080374/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Imitation Game ,http://www.imdb.com/title/tt2084970/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Maniac ,http://www.imdb.com/title/tt2103217/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Adore ,http://www.imdb.com/title/tt2103267/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
The Hunt ,http://www.imdb.com/title/tt2106476/?ref_=fn_tt_tt_1,Denmark,budget,gross,foreign_currency
Jab Tak Hai Jaan ,http://www.imdb.com/title/tt2176013/?ref_=fn_tt_tt_1,India,budget,gross,foreign_currency
About Time ,http://www.imdb.com/title/tt2194499/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Futuro Beach ,http://www.imdb.com/title/tt2199543/?ref_=fn_tt_tt_1,Brazil,budget,gross,foreign_currency
Transcendence ,http://www.imdb.com/title/tt2209764/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Mandela: Long Walk to Freedom ,http://www.imdb.com/title/tt2304771/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Hobbit: The Battle of the Five Armies ,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,New Zealand,budget,gross,foreign_currency
The Lunchbox ,http://www.imdb.com/title/tt2350496/?ref_=fn_tt_tt_1,India,budget,gross,foreign_currency
The Great Beauty ,http://www.imdb.com/title/tt2358891/?ref_=fn_tt_tt_1,Italy,budget,gross,foreign_currency
Antarctica: A Year on Ice ,http://www.imdb.com/title/tt2361700/?ref_=fn_tt_tt_1,New Zealand,budget,gross,foreign_currency
The Act of Killing ,http://www.imdb.com/title/tt2375605/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Instructions Not Included ,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,Mexico,budget,gross,foreign_currency
Spectre ,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Brooklyn ,http://www.imdb.com/title/tt2381111/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Mission: Impossible - Rogue Nation ,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,China,budget,gross,foreign_currency
Desert Dancer ,http://www.imdb.com/title/tt2403393/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Woman in Gold ,http://www.imdb.com/title/tt2404425/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Philomena ,http://www.imdb.com/title/tt2431286/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Taken 3 ,http://www.imdb.com/title/tt2446042/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Mr. Turner ,http://www.imdb.com/title/tt2473794/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Second Best Exotic Marigold Hotel ,http://www.imdb.com/title/tt2555736/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Midnight Special ,http://www.imdb.com/title/tt2649554/?ref_=fn_tt_tt_1,Greece,budget,gross,foreign_currency
Me Before You ,http://www.imdb.com/title/tt2674426/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Secret Life of Pets ,http://www.imdb.com/title/tt2709768/?ref_=fn_tt_tt_1,Japan,budget,gross,foreign_currency
Everest ,http://www.imdb.com/title/tt2719848/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Lucy ,http://www.imdb.com/title/tt2872732/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Ip Man 3 ,http://www.imdb.com/title/tt2888046/?ref_=fn_tt_tt_1,Hong Kong,budget,gross,foreign_currency
R100 ,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,Japan,budget,gross,foreign_currency
The Transporter Refueled ,http://www.imdb.com/title/tt2938956/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
The Theory of Everything ,http://www.imdb.com/title/tt2980516/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Water Diviner ,http://www.imdb.com/title/tt3007512/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Criminal ,http://www.imdb.com/title/tt3014866/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Jungle Book ,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Mortdecai ,http://www.imdb.com/title/tt3045616/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Trainwreck ,http://www.imdb.com/title/tt3152624/?ref_=fn_tt_tt_1,Japan,budget,gross,foreign_currency
Room ,http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1,Ireland,budget,gross,foreign_currency
Insidious: Chapter 3 ,http://www.imdb.com/title/tt3195644/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
London Has Fallen ,http://www.imdb.com/title/tt3300542/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Concussion ,http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
