There Be Dragons , http://www.imdb.com/title/tt1316616/?ref_=fn_tt_tt_1, Spain, $36,000,000, $1,068,392(USA)(27May2011), false
The Last Exorcism , http://www.imdb.com/title/tt1320244/?ref_=fn_tt_tt_1, France, $1,800,000, $40,990,055(USA)(2October2010), false
Never Let Me Go , http://www.imdb.com/title/tt1334260/?ref_=fn_tt_tt_1, UK, $15,000,000, $2,412,045(USA)(10December2010), false
Tinker Tailor Soldier Spy , http://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1, France, £20,000,000, $24,104,113(USA)(16March2012), true
The Great Gatsby , http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1, Australia, $105,000,000, $144,812,796(USA)(16August2013), false
Dredd , http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1, UK, $35,000,000, $13,401,683(USA)(26October2012), false
Cloud Atlas , http://www.imdb.com/title/tt1371111/?ref_=fn_tt_tt_1, Germany, $102,000,000, $27,098,580(USA)(18January2013), false
Made in Dagenham , http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1, UK, $7,200,000, $1,094,798(USA)(8April2011), false
The Adventurer: The Curse of the Midas Box , http://www.imdb.com/title/tt1376213/?ref_=fn_tt_tt_1, UK, $25,000,000, $4,756(USA)(10January2014), false
Mad Max: Fury Road , http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1, Australia, $150,000,000, $153,629,485(USA)(18September2015), false
Taken 2 , http://www.imdb.com/title/tt1397280/?ref_=fn_tt_tt_1, France, $45,000,000, $139,852,971(USA)(15February2013), false
Unknown , http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1, UK, $30,000,000, $61,094,903(USA)(18March2011), false
Happy Feet 2 , http://www.imdb.com/title/tt1402488/?ref_=fn_tt_tt_1, Australia, $135,000,000, $63,992,328(USA)(2March2012), false
The Flowers of War , http://www.imdb.com/title/tt1410063/?ref_=fn_tt_tt_1, China, $94,000,000, $9,213(USA)(17May2013), false
The Best Exotic Marigold Hotel , http://www.imdb.com/title/tt1412386/?ref_=fn_tt_tt_1, UK, $10,000,000, $46,377,022(USA)(19October2012), false
Nanny McPhee Returns , http://www.imdb.com/title/tt1415283/?ref_=fn_tt_tt_1, UK, $35,000,000, $28,995,450(USA)(22October2010), false
I Frankenstein, http://www.imdb.com/title/tt1418377/?ref_=fn_tt_tt_1, Australia, $65,000,000, $19,059,018(USA)(14March2014), false
Hansel & Gretel: Witch Hunters , http://www.imdb.com/title/tt1428538/?ref_=fn_tt_tt_1, Germany, $50,000,000, $55,682,070(USA)(19April2013), false
Arthur Christmas , http://www.imdb.com/title/tt1430607/?ref_=fn_tt_tt_1, UK, $100,000,000, $46,440,491(USA)(6January2012), false
