Night Watch , http://www.imdb.com/title/tt0403358/?ref_=fn_tt_tt_1, Russia, $4,200,000, $1,487,477(USA)(28April2006), false
Running Scared , http://www.imdb.com/title/tt0404390/?ref_=fn_tt_tt_1, Germany, $17,000,000, $6,855,137(USA)(31March2006), false
The Lives of Others , http://www.imdb.com/title/tt0405094/?ref_=fn_tt_tt_1, Germany, $2,000,000, $11,284,657(USA)(7September2007), false
Southland Tales , http://www.imdb.com/title/tt0405336/?ref_=fn_tt_tt_1, France, $17,000,000, $273,420(USA)(14December2007), false
All the King's Men , http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1, Germany, $55,000,000, $7,221,458(USA)(13October2006), false
Munich , http://www.imdb.com/title/tt0408306/?ref_=fn_tt_tt_1, France, $70,000,000, $47,379,090(USA)(24March2006), false
The World's Fastest Indian , http://www.imdb.com/title/tt0412080/?ref_=fn_tt_tt_1, New Zealand, $25,000,000, $5,128,124(USA)(14July2006), false
Mrs Henderson Presents , http://www.imdb.com/title/tt0413015/?ref_=fn_tt_tt_1, UK, $20,000,000, $11,034,436(USA)(26May2006), false
Elizabeth: The Golden Age , http://www.imdb.com/title/tt0414055/?ref_=fn_tt_tt_1, UK, $55,000,000, $16,264,475(USA)(22November2007), false
Pride & Prejudice , http://www.imdb.com/title/tt0414387/?ref_=fn_tt_tt_1, France, $28,000,000, $38,372,662(USA)(24February2006), false
District B13 , http://www.imdb.com/title/tt0414852/?ref_=fn_tt_tt_1, France, €12,000,000, $1,197,786(USA)(25August2006), true
Barnyard , http://www.imdb.com/title/tt0414853/?ref_=fn_tt_tt_1, Germany, $51,000,000, $72,601,713(USA)(27October2006), false
Final Destination 3 , http://www.imdb.com/title/tt0414982/?ref_=fn_tt_tt_1, Germany, $25,000,000, $54,098,051(USA)(14April2006), false
Mongol: The Rise of Genghis Khan , http://www.imdb.com/title/tt0416044/?ref_=fn_tt_tt_1, Russia, $20,000,000, $5,701,643(USA)(5September2008), false
Match Point , http://www.imdb.com/title/tt0416320/?ref_=fn_tt_tt_1, UK, $15,000,000, $23,089,926(USA)(17March2006), false
Becoming Jane , http://www.imdb.com/title/tt0416508/?ref_=fn_tt_tt_1, UK, $16,500,000, $18,663,911(USA)(19October2007), false
Snakes on a Plane , http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1, Germany, $33,000,000, $34,014,398(USA)(3November2006), false
Harry Potter and the Half-Blood Prince , http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1, UK, $250,000,000, $301,956,980(USA)(11December2009), false
The Promise , http://www.imdb.com/title/tt0417976/?ref_=fn_tt_tt_1, China, HKD 60,000,000, $668,171(USA)(9June2006), true
Jarhead , http://www.imdb.com/title/tt0418763/?ref_=fn_tt_tt_1, Germany, $72,000,000, $62,647,540(USA)(13January2006), false
Land of the Dead , http://www.imdb.com/title/tt0418819/?ref_=fn_tt_tt_1, Canada, $15,000,000, $20,433,940(USA)(29July2005), false
Wah-Wah , http://www.imdb.com/title/tt0419256/?ref_=fn_tt_tt_1, UK, $7,000,000, $233,103(USA)(23June2006), false
Three Burials , http://www.imdb.com/title/tt0419294/?ref_=fn_tt_tt_1, France, $15,000,000, $5,023,275(USA)(2June2006), false
