The Widow of Saint-Pierre , http://www.imdb.com/title/tt0191636/?ref_=fn_tt_tt_1, France, FRF 100,000,000, $3,058,380(USA)(27July2001), true
The Little Vampire , http://www.imdb.com/title/tt0192255/?ref_=fn_tt_tt_1, Germany, $35,000,000, $13,555,988(USA)(1December2000), false
Zoolander , http://www.imdb.com/title/tt0196229/?ref_=fn_tt_tt_1, Germany, $28,000,000, $45,162,741(USA)(4January2002), false
In the Cut , http://www.imdb.com/title/tt0199626/?ref_=fn_tt_tt_1, Australia, $12,000,000, $4,717,455(USA)(21November2003), false
The Bank Job , http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1, UK, $20,000,000, $30,028,592(USA)(30May2008), false
The House of Mirth , http://www.imdb.com/title/tt0200720/?ref_=fn_tt_tt_1, UK, $10,000,000, $3,041,803(USA)(6July2001), false
Thomas and the Magic Railroad , http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1, UK, $19,000,000, $15,911,333(USA)(29September2000), false
Psycho Beach Party , http://www.imdb.com/title/tt0206226/?ref_=fn_tt_tt_1, Australia, $1,500,000, $265,107(USA)(8December2000), false
Snatch , http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1, UK, £6,000,000, $30,093,107(USA)(9March2001), true
The Wedding Planner , http://www.imdb.com/title/tt0209475/?ref_=fn_tt_tt_1, Germany, $35,000,000, $60,400,856(USA)(27April2001), false
Amélie , http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1, France, FRF 77,000,000, $33,201,661(USA)(28June2002), true
2046 , http://www.imdb.com/title/tt0212712/?ref_=fn_tt_tt_1, Hong Kong, $12,000,000, $261,481(USA)(9December2005), false
Rugrats in Paris: The Movie , http://www.imdb.com/title/tt0213203/?ref_=fn_tt_tt_1, Germany, $30,000,000, $76,501,438(USA)(30March2001), false
The Claim , http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1, UK, CAD 20,000,000, $403,932(USA)(18May2001), true
Original Sin , http://www.imdb.com/title/tt0218922/?ref_=fn_tt_tt_1, France, $42,000,000, $16,252,765(USA)(31August2001), false
Lucky Numbers , http://www.imdb.com/title/tt0219952/?ref_=fn_tt_tt_1, France, $63,000,000, $10,014,234(USA)(15December2000), false
Formula 51 , http://www.imdb.com/title/tt0227984/?ref_=fn_tt_tt_1, UK, $28,000,000, $5,204,007(USA)(8November2002), false
Crocodile Dundee in Los Angeles , http://www.imdb.com/title/tt0231402/?ref_=fn_tt_tt_1, Australia, $21,150,000, $25,590,119(USA)(13July2001), false
Josie and the Pussycats , http://www.imdb.com/title/tt0236348/?ref_=fn_tt_tt_1, Canada, $39,000,000, $14,252,830(USA)(18May2001), false
Captain Corelli's Mandolin , http://www.imdb.com/title/tt0238112/?ref_=fn_tt_tt_1, UK, $57,000,000, $25,528,495(USA)(12October2001), false
The Four Feathers , http://www.imdb.com/title/tt0240510/?ref_=fn_tt_tt_1, UK, $35,000,000, $18,306,166(USA)(27November2002), false
Slackers , http://www.imdb.com/title/tt0240900/?ref_=fn_tt_tt_1, Canada, $11,000,000, $4,814,244(USA)(8February2002), false
Chocolat , http://www.imdb.com/title/tt0241303/?ref_=fn_tt_tt_1, UK, $25,000,000, $71,309,760(USA)(22June2001), false
Harry Potter and the Sorcerer's Stone , http://www.imdb.com/title/tt0241527/?ref_=fn_tt_tt_1, UK, $125,000,000, $317,557,891(USA)(17May2002), false
The Matrix Revolutions , http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1, Australia, $150,000,000, $139,259,759(USA)(20February2004), false
