movie_title,movie_imdb_link,country,budget,gross,foreign_currency
Night Watch ,http://www.imdb.com/title/tt0403358/?ref_=fn_tt_tt_1,Russia,budget,gross,foreign_currency
Running Scared ,http://www.imdb.com/title/tt0404390/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
The Lives of Others ,http://www.imdb.com/title/tt0405094/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Southland Tales ,http://www.imdb.com/title/tt0405336/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
All the King's Men ,http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Munich ,http://www.imdb.com/title/tt0408306/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
The World's Fastest Indian ,http://www.imdb.com/title/tt0412080/?ref_=fn_tt_tt_1,New Zealand,budget,gross,foreign_currency
Mrs Henderson Presents ,http://www.imdb.com/title/tt0413015/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Elizabeth: The Golden Age ,http://www.imdb.com/title/tt0414055/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Pride & Prejudice ,http://www.imdb.com/title/tt0414387/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
District B13 ,http://www.imdb.com/title/tt0414852/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Barnyard ,http://www.imdb.com/title/tt0414853/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Final Destination 3 ,http://www.imdb.com/title/tt0414982/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Mongol: The Rise of Genghis Khan ,http://www.imdb.com/title/tt0416044/?ref_=fn_tt_tt_1,Russia,budget,gross,foreign_currency
Match Point ,http://www.imdb.com/title/tt0416320/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Becoming Jane ,http://www.imdb.com/title/tt0416508/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Snakes on a Plane ,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Harry Potter and the Half-Blood Prince ,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
