movie_title,movie_imdb_link,country,budget,gross,foreign_currency
The Widow of Saint-Pierre ,http://www.imdb.com/title/tt0191636/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
The Little Vampire ,http://www.imdb.com/title/tt0192255/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Zoolander ,http://www.imdb.com/title/tt0196229/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
In the Cut ,http://www.imdb.com/title/tt0199626/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
The Bank Job ,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The House of Mirth ,http://www.imdb.com/title/tt0200720/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Thomas and the Magic Railroad ,http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Psycho Beach Party ,http://www.imdb.com/title/tt0206226/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Snatch ,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Wedding Planner ,http://www.imdb.com/title/tt0209475/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Amélie ,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
2046 ,http://www.imdb.com/title/tt0212712/?ref_=fn_tt_tt_1,Hong Kong,budget,gross,foreign_currency
Rugrats in Paris: The Movie ,http://www.imdb.com/title/tt0213203/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
The Claim ,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Original Sin ,http://www.imdb.com/title/tt0218922/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Lucky Numbers ,http://www.imdb.com/title/tt0219952/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Formula 51 ,http://www.imdb.com/title/tt0227984/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Crocodile Dundee in Los Angeles ,http://www.imdb.com/title/tt0231402/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Josie and the Pussycats ,http://www.imdb.com/title/tt0236348/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Captain Corelli's Mandolin ,http://www.imdb.com/title/tt0238112/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Four Feathers ,http://www.imdb.com/title/tt0240510/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Slackers ,http://www.imdb.com/title/tt0240900/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Chocolat ,http://www.imdb.com/title/tt0241303/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Harry Potter and the Sorcerer's Stone ,http://www.imdb.com/title/tt0241527/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Matrix Revolutions ,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Bridget Jones's Diary ,http://www.imdb.com/title/tt0243155/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Spirited Away ,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,Japan,budget,gross,foreign_currency
Y Tu Mamá También ,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,Mexico,budget,gross,foreign_currency
Amores Perros ,http://www.imdb.com/title/tt0245712/?ref_=fn_tt_tt_1,Mexico,budget,gross,foreign_currency
The Count of Monte Cristo ,http://www.imdb.com/title/tt0245844/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Lucky Break ,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Die Another Day ,http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
